,,,,,,,,,,
12/12/2015,18:09,FP OTH ,TA-BAYTOWN (HOUSTON) I-10 & THOMPSON RD EXIT 7  ,BAYTOWN ,TX  ,9.68,2.85,-27.58, , 
12/12/2015,18:09,FP Discount ,TA-BAYTOWN (HOUSTON) I-10 & THOMPSON RD EXIT 7  ,BAYTOWN ,TX  , , ,35.23, , 
12/12/2015,18:09,FP TOTAL ,TA-BAYTOWN (HOUSTON) I-10 & THOMPSON RD EXIT 7  ,BAYTOWN ,TX  , , ,-113.19,-1,79934.68
12/12/2015,20:42,FP #2S ,TA-TUSCALOOSA 3501 BUTTERMILK ROAD  ,COTTONDALE ,AL  ,50.37,2.16,-108.74,-1, 
12/12/2015,20:42,FP OTH ,TA-TUSCALOOSA 3501 BUTTERMILK ROAD  ,COTTONDALE ,AL  ,4.66,2.86,-13.33, , 
12/12/2015,20:42,FP Discount ,TA-TUSCALOOSA 3501 BUTTERMILK ROAD  ,COTTONDALE ,AL  , , ,25.19, , 
12/12/2015,20:42,FP TOTAL ,TA-TUSCALOOSA 3501 BUTTERMILK ROAD  ,COTTONDALE ,AL  , , ,-96.88,-1,79836.8
12/13/2015,0:24,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,131.98,2.78,-366.77,-1, 
12/13/2015,0:24,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,82.22, , 
12/13/2015,0:24,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-284.55,-1,79551.25
12/13/2015,0:33,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,93.01,2.58,-239.88,-1, 
12/13/2015,0:33,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,53.76, , 
12/13/2015,0:33,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-186.12,-1,79364.13
12/13/2015,2:58,FP #2S ,PETRO FUEL #27 5821 DENNIS MCCARTHY  ,WHEELER RIDGE ,CA  ,125.86,2.64,-332.16,-1, 
12/13/2015,2:58,FP Discount ,PETRO FUEL #27 5821 DENNIS MCCARTHY  ,WHEELER RIDGE ,CA  , , ,70.86, , 
12/13/2015,2:58,FP TOTAL ,PETRO FUEL #27 5821 DENNIS MCCARTHY  ,WHEELER RIDGE ,CA  , , ,-261.3,-1,79101.83
12/13/2015,4:47,FP #2S ,TA-CONCORDIA I-70 & RT 23 EXIT 58  ,CONCORDIA ,MO  ,65.91,2,-131.75,-1, 
12/13/2015,4:47,FP Discount ,TA-CONCORDIA I-70 & RT 23 EXIT 58  ,CONCORDIA ,MO  , , ,26.36, , 
12/13/2015,4:47,FP TOTAL ,TA-CONCORDIA I-70 & RT 23 EXIT 58  ,CONCORDIA ,MO  , , ,-105.39,-1,78995.44
12/13/2015,8:17,FP #2S ,TA-MARIANNA 2112 HWY 71  ,MARIANNA ,FL  ,70.07,2.38,-166.69,-1, 
12/13/2015,8:17,FP Discount ,TA-MARIANNA 2112 HWY 71  ,MARIANNA ,FL  , , ,45.34, , 
12/13/2015,8:17,FP TOTAL ,TA-MARIANNA 2112 HWY 71  ,MARIANNA ,FL  , , ,-121.35,-1,78873.09
12/13/2015,12:15,FP #2S ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,74.26,2.43,-180.37,-1, 
12/13/2015,12:15,FP Discount ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,50.5, , 
12/13/2015,12:15,FP TOTAL ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,-129.87,-1,78742.22
12/13/2015,13:39,FP #2S ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  ,51.22,2.55,-130.58,-1, 
12/13/2015,13:39,FP OTH ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  ,8.89,2.6,-23.11, , 
12/13/2015,13:39,FP TOTAL ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  , , ,-153.69,-1,78587.53
12/13/2015,16:03,FP #2S ,TA-SWEETWATER 100 SOUTH HOPKINS RD  ,SWEETWATER ,TX  ,142.85,2.2,-314.13,-1, 
12/13/2015,16:03,FP Discount ,TA-SWEETWATER 100 SOUTH HOPKINS RD  ,SWEETWATER ,TX  , , ,77.28, , 
12/13/2015,16:03,FP TOTAL ,TA-SWEETWATER 100 SOUTH HOPKINS RD  ,SWEETWATER ,TX  , , ,-236.85,-1,78349.68
12/13/2015,17:26,FP #2S ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,63.33,2.43,-153.84,-1, 
12/13/2015,17:26,FP OTH ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,6.87,2.85,-19.57, , 
12/13/2015,17:26,FP Discount ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,43.06, , 
12/13/2015,17:26,FP TOTAL ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,-130.35,-1,78218.33
12/13/2015,17:50,FP #2S ,TA-OKLAHOMA CITY WEST 501 SOUTH MORGAN RD  ,OKLAHOMA CITY ,OK  ,115.19,2.28,-262.51,-1, 
12/13/2015,17:50,FP Discount ,TA-OKLAHOMA CITY WEST 501 SOUTH MORGAN RD  ,OKLAHOMA CITY ,OK  , , ,86.51, , 
12/13/2015,17:50,FP TOTAL ,TA-OKLAHOMA CITY WEST 501 SOUTH MORGAN RD  ,OKLAHOMA CITY ,OK  , , ,-176,-1,78041.33
12/13/2015,21:35,FP #2S ,PETRO FUEL #16 I-40 & MARTIN LUTHER KING  ,OKLAHOMA CITY ,OK  ,103.28,2.28,-235.38,-1, 
12/13/2015,21:35,FP Discount ,PETRO FUEL #16 I-40 & MARTIN LUTHER KING  ,OKLAHOMA CITY ,OK  , , ,74.46, , 
12/13/2015,21:35,FP TOTAL ,PETRO FUEL #16 I-40 & MARTIN LUTHER KING  ,OKLAHOMA CITY ,OK  , , ,-160.92,-1,77879.41
12/13/2015,21:46,FP #2S ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  ,55.53,1.97,-109.34,-1, 
12/13/2015,21:46,FP OTH ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  ,0.13,2.85,-0.37, , 
12/13/2015,21:46,FP Discount ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  , , ,26.71, , 
12/13/2015,21:46,FP TOTAL ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  , , ,-83,-1,77795.41
12/13/2015,23:01,FP #2S ,TA-CONCORDIA I-70 & RT 23 EXIT 58  ,CONCORDIA ,MO  ,112.82,2,-225.53,-1, 
12/13/2015,23:01,FP OTH ,TA-CONCORDIA I-70 & RT 23 EXIT 58  ,CONCORDIA ,MO  ,5.68,2.86,-16.24, , 
12/13/2015,23:01,FP Discount ,TA-CONCORDIA I-70 & RT 23 EXIT 58  ,CONCORDIA ,MO  , , ,45.13, , 
12/13/2015,23:01,FP TOTAL ,TA-CONCORDIA I-70 & RT 23 EXIT 58  ,CONCORDIA ,MO  , , ,-196.64,-1,77597.77
