,,,,,,,,,,,
12/25/2015,19:44,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,98.04,2.36,-231.28,-1, ,
12/25/2015,19:44,FP OTH ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,8.88,3,-26.62, , ,
12/25/2015,19:44,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,65.69, , ,
12/25/2015,19:44,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-192.21,-1,77738.35,
12/26/2015,0:49,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,131.45,2.36,-310.08,-1, ,
12/26/2015,0:49,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,90.96, , ,
12/26/2015,0:49,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-219.12,-1,77518.23,
12/26/2015,1:01,FP #2S ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  ,111.26,1.98,-220.18,-1, ,
12/26/2015,1:01,FP Discount ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  , , ,13.57, , ,
12/26/2015,1:01,FP TOTAL ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  , , ,-206.61,-1,77310.62,
12/26/2015,3:03,FP #2S ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  ,110.13,2.09,-230.06,-1, ,
12/26/2015,3:03,FP Discount ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  , , ,34.47, , ,
12/26/2015,3:03,FP TOTAL ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  , , ,-195.59,-1,77114.03,
12/26/2015,4:27,FP #2S ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  ,106.23,1.98,-210.22,-1, ,
12/26/2015,4:27,FP OTH ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  ,15.99,2.86,-45.7, , ,
