,,,,,,,,,,
11/22/2015,5:00,FP #2S ,TA-NASHVILLE 111 NORTH FIRST STREET  ,NASHVILLE ,TN  ,102.89,2.29,-235.51,-1, 
11/22/2015,5:00,FP OTH ,TA-NASHVILLE 111 NORTH FIRST STREET  ,NASHVILLE ,TN  ,6.32,2.85,-18, , 
11/22/2015,5:00,FP Discount ,TA-NASHVILLE 111 NORTH FIRST STREET  ,NASHVILLE ,TN  , , ,51.45, , 
11/22/2015,5:00,FP TOTAL ,TA-NASHVILLE 111 NORTH FIRST STREET  ,NASHVILLE ,TN  , , ,-202.06,-1,30509.95
11/22/2015,6:58,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,151.72,2.39,-362.45,-1, 
11/22/2015,6:58,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,20.33, , 
11/22/2015,6:58,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-342.12,-1,30166.83
11/22/2015,8:17,FP #2S ,PILOT #385 HWY 13 SOUTH & US 54  ,COLLINS ,MO  ,147.36,2.36,-347.64,-1, 
11/22/2015,8:17,FP TOTAL ,PILOT #385 HWY 13 SOUTH & US 54  ,COLLINS ,MO  , , ,-347.64,-1,29818.19
11/22/2015,10:56,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,59.09,2.63,-155.35,-1, 
11/22/2015,10:56,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,34.8, , 
11/22/2015,10:56,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-120.55,-1,29696.64
11/22/2015,10:59,FP OTH ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,11.08,3,-33.24, , 
11/22/2015,10:59,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-33.24, ,29663.4
11/22/2015,12:01,FP #2S ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  ,143.18,2.29,-327.74,-1, 
11/22/2015,12:01,FP RFR ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  ,35.98,2.29,-82.36, , 
11/22/2015,12:01,FP Discount ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  , , ,87.79, , 
11/22/2015,12:01,FP TOTAL ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  , , ,-322.31,-1,29340.09
11/22/2015,14:19,FP #2S ,TA-DENVER WEST TRAVEL CTR I-70 & WARD ROAD EXIT 266  ,WHEAT RIDGE ,CO  ,161.8,2.48,-401.11,-1, 
11/22/2015,14:19,FP OTH ,TA-DENVER WEST TRAVEL CTR I-70 & WARD ROAD EXIT 266  ,WHEAT RIDGE ,CO  ,6.63,2.86,-18.95, , 
11/22/2015,14:19,FP Discount ,TA-DENVER WEST TRAVEL CTR I-70 & WARD ROAD EXIT 266  ,WHEAT RIDGE ,CO  , , ,73.62, , 
11/22/2015,14:19,FP TOTAL ,TA-DENVER WEST TRAVEL CTR I-70 & WARD ROAD EXIT 266  ,WHEAT RIDGE ,CO  , , ,-346.44,-1,28992.65
11/22/2015,14:47,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,184.16,2.63,-484.16,-1, 
11/22/2015,14:47,FP OTH ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,4.83,3,-14.49, , 
11/22/2015,14:47,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,108.47, , 
11/22/2015,14:47,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-390.18,-1,28601.47
11/22/2015,15:58,FP #2S ,PETRO RAPHINE 2440 RAPHINE ROAD  ,RAPHINE ,VA  ,83.19,2.36,-196.24,-1, 
11/22/2015,15:58,FP OTH ,PETRO RAPHINE 2440 RAPHINE ROAD  ,RAPHINE ,VA  ,15.95,2.8,-44.65, , 
11/22/2015,15:58,FP Discount ,PETRO RAPHINE 2440 RAPHINE ROAD  ,RAPHINE ,VA  , , ,39.52, , 
11/22/2015,15:58,FP TOTAL ,PETRO RAPHINE 2440 RAPHINE ROAD  ,RAPHINE ,VA  , , ,-201.37,-1,28399.1
